gene,log2FoldChange,pvalue,padj
ENSG00000174514.13,-5.266317954946545,0.0,0.0
ENSG00000249859.12,4.669639793284601,1.2436527913174197e-280,2.9787971657634842e-276
ENSG00000061656.10,4.096751974141169,2.100961803151676e-261,3.3548158072725955e-257
ENSG00000224490.5,8.31823033144133,1.5399172531850663e-260,1.8442049024144356e-256
ENSG00000185633.10,5.794660847589373,8.684166191732745e-244,8.320125944975308e-240
ENSG00000014257.16,-5.593667029678964,9.157278734856308e-242,7.311171341909278e-238
ENSG00000273335.1,-6.572009572500994,5.8412351550177085e-236,3.997407555228119e-232
ENSG00000187730.9,5.252730749514752,3.4404484660675313e-234,2.060140541481237e-230
ENSG00000213963.6,-3.5818875330445312,1.8794491441405567e-230,1.0003681311212136e-226
ENSG00000129521.15,4.242199724077025,8.217180791087196e-229,3.936358286162409e-225
ENSG00000135245.10,4.727212916355869,2.2267495440356185e-223,9.697291832498388e-220
ENSG00000140939.14,3.3961628283773244,6.4316453914336215e-217,2.5675128402603016e-213
ENSG00000073060.16,4.093717793268779,6.7233083086723145e-208,2.4774873939895275e-204
ENSG00000214145.7,5.542502980768644,2.5480487599122696e-204,8.718694842488384e-201
ENSG00000050767.17,5.178230487996533,2.7863556375157955e-203,8.898505363970444e-200
ENSG00000285906.2,3.130931441886183,3.2847443118344254e-203,9.834524469632269e-200
ENSG00000107159.13,6.04956049407634,6.2566028460056295e-202,1.7630370749120804e-198
ENSG00000102878.17,5.700436565251964,3.389946291359385e-199,9.021777063404443e-196
ENSG00000113739.10,4.2427414692550975,1.1795277166341077e-198,2.9738997756652782e-195
ENSG00000134574.12,2.021608782873132,4.3602889285862e-198,1.0443764041749668e-194
ENSG00000184661.14,4.688839834968331,7.539543517737248e-195,1.7198775841604048e-191
ENSG00000286733.1,6.206831848336564,2.47111011493021e-194,5.3807299520734897e-191
ENSG00000066926.12,-1.9920873193422133,1.362978895659457e-191,2.8387887398987225e-188
ENSG00000286025.1,6.334892496515156,1.926204261502724e-190,3.844703705959437e-187
ENSG00000147889.18,4.939147838640981,3.848314635530334e-190,7.373986572017807e-187
ENSG00000167772.12,4.934088578180592,1.3141605231343054e-187,2.4212902192394526e-184
ENSG00000170231.16,6.450323823018278,3.3450328364844504e-187,5.934831592553745e-184
ENSG00000112715.25,3.481986960898419,3.504365431556162e-184,5.995468629759515e-181
ENSG00000095970.17,4.246239691436761,1.7657664801414975e-182,2.9168026711964928e-179
ENSG00000105366.15,5.0636296741741145,1.473727096150107e-180,2.35324742713249e-177
ENSG00000164105.4,2.470765906754167,2.137094842752485e-179,3.3024319789424216e-176
ENSG00000231881.2,6.536178411878476,8.174094390791767e-179,1.2236619303015274e-175
ENSG00000149927.18,6.077942062759858,9.279432013748839e-177,1.3470360945049223e-173
ENSG00000082684.16,3.878721940188483,7.940558812304436e-176,1.1187780274842112e-172
ENSG00000173567.15,-3.5871259016967496,1.2232649833288718e-175,1.6742653074681802e-172
ENSG00000258667.2,5.122279351782617,1.8582250684877351e-174,2.472678157801013e-171
ENSG00000119715.15,-5.958149589716174,1.1408183833695209e-173,1.477020644241447e-170
ENSG00000171208.10,3.2855025222584286,3.65985259523573e-173,4.613725755846642e-170
ENSG00000088340.17,5.538276803324943,9.537521501273647e-172,1.171501102556443e-168
ENSG00000123610.5,5.663205813468847,2.2869595029848712e-169,2.738862700774681e-166
ENSG00000283683.1,5.625155025526195,4.569120887915839e-168,5.338516268651717e-165
ENSG00000113532.13,3.5419171829201224,1.5951110054752421e-167,1.819338038244905e-164
ENSG00000233542.2,5.150060078720586,1.7314752164958482e-166,1.9289439249073744e-163
ENSG00000273032.3,4.193866229183894,2.8625327824519783e-166,3.1165175093313536e-163
ENSG00000263429.3,-5.888389311739732,1.409859285648974e-163,1.5008422048828544e-160
ENSG00000177807.10,-6.169347368150625,4.531304557167595e-163,4.71886116318601e-160
ENSG00000237707.1,-5.4488304279174935,3.9675380347825616e-162,4.043849830174975e-159
ENSG00000080573.7,3.547230674844846,4.1833945857172204e-162,4.1750277965457855e-159
ENSG00000179399.15,-5.848048964640924,5.41942279832131e-162,5.298204688383346e-159
ENSG00000141526.17,2.953848505205665,5.731867123560697e-162,5.491587253741033e-159
ENSG00000163873.10,5.00181190315173,4.83296898654078e-161,4.539579339828422e-158
ENSG00000106236.4,6.969757692701011,5.970858528978561e-161,5.500538595619019e-158
ENSG00000140795.13,-3.979916514612904,1.867025353044173e-158,1.6875091040043033e-155
ENSG00000130208.9,5.227891685789309,2.843072229256036e-158,2.5221209642644657e-155
ENSG00000243144.7,5.22061318047148,9.597111736375708e-158,8.35890982944258e-155
ENSG00000233695.2,4.535408467826296,5.406846917556165e-155,4.625171334618045e-152
ENSG00000228271.2,5.307366078551116,7.665744129740146e-155,6.442452750720561e-152
ENSG00000126803.9,-3.893835864804545,1.565165391533704e-154,1.292718670966044e-151
ENSG00000104972.15,2.9034851862585613,9.002850519900244e-154,7.309704259411887e-151
ENSG00000180354.16,-3.064835744509464,1.1446967619879513e-153,9.139258947711805e-151
ENSG00000104327.7,-7.537627817124568,1.2838190468292637e-153,1.0081978298247385e-150
ENSG00000026025.16,2.69069572131488,4.849427771309822e-153,3.746886902529447e-150
ENSG00000272870.3,2.916213623466825,2.541529577020971e-152,1.932530680279565e-149
ENSG00000231890.8,3.23752978554372,6.430728595227542e-151,4.813400353527816e-148
ENSG00000125726.11,6.095136535708828,1.2298451937577213e-149,9.063769871041521e-147
ENSG00000130822.16,6.615571423090923,3.5497527954010335e-149,2.576475119861987e-146
ENSG00000135374.11,-7.840779015950932,1.3561392246508444e-148,9.55360197318736e-146
ENSG00000154269.15,4.703061894056904,1.3503692209763156e-148,9.55360197318736e-146
ENSG00000233610.1,6.3579318147256,1.582884550765339e-147,1.0989348046356923e-144
ENSG00000170561.13,-5.035143784743703,2.1205828221955e-147,1.4512057073493315e-144
ENSG00000181418.8,-6.37879895221444,5.055132183052054e-147,3.4107190436186704e-144
ENSG00000247095.3,3.2568355123456905,1.534634346436482e-146,1.021043385162406e-143
ENSG00000121966.7,2.770756762837704,1.6072966660404905e-146,1.0547388971233376e-143
ENSG00000164303.11,-5.062526450298232,1.8252056990626424e-146,1.1815493757823897e-143
ENSG00000115902.11,1.9322605654863465,4.476973164980711e-146,2.85953229993648e-143
ENSG00000128805.15,2.7544786003604105,5.22929614894866e-146,3.296107930516271e-143
ENSG00000226419.8,3.2905935830604225,1.0716262266736831e-145,6.666906852282612e-143
ENSG00000159399.10,3.4237410441669995,4.485269524099513e-145,2.7546455292623478e-142
ENSG00000172927.8,7.095891207812366,5.472864650681421e-145,3.318634281344845e-142
ENSG00000177989.13,3.535978288200712,2.1757813862017528e-144,1.3028578940576094e-141
ENSG00000186918.14,2.611914710637973,2.735761812159736e-144,1.6179498006135802e-141
ENSG00000256694.1,3.6534987807216446,5.577398393656059e-144,3.258288934752438e-141
ENSG00000188266.14,-2.027697220602169,4.104665374756697e-143,2.3690348206306604e-140
ENSG00000240498.9,4.144072389664345,5.0776663194713e-143,2.8957205639042046e-140
ENSG00000168404.13,1.920097527831001,5.161223919496144e-143,2.908744360465215e-140
ENSG00000227338.2,-6.483014176402848,2.5709207137831573e-142,1.4320626264310274e-139
ENSG00000272711.1,3.383328499076752,4.640148128471071e-142,2.5549615626008988e-139
ENSG00000136720.7,-2.165316187599953,4.737760136709196e-142,2.5790643362376967e-139
ENSG00000142609.18,4.008583570785877,4.002484311573934e-141,2.1543259377712103e-138
ENSG00000134202.11,-3.334262991075958,8.967705727437786e-140,4.7732108351908855e-137
ENSG00000135439.11,2.670032644400555,3.0366611446435158e-139,1.598551818384648e-136
ENSG00000138134.12,2.4632601797095988,5.486608074734121e-138,2.8568529696963404e-135
ENSG00000231324.1,-5.837268195817498,6.36877759885274e-138,3.28053679672518e-135
ENSG00000017797.13,-1.4787964218252687,1.3533448583932776e-137,6.896875754943784e-135
ENSG00000164283.13,3.555566350256276,1.73718013054294e-137,8.75977652352937e-135
ENSG00000074803.20,-8.282250681904218,2.8158697443508377e-137,1.4051190024310683e-134
ENSG00000204362.6,7.513461447535997,3.3950412491336427e-137,1.6766603711185364e-134
ENSG00000131080.15,2.2830987135310323,4.1905327178973486e-137,2.0484008093689245e-134
ENSG00000258292.1,-4.778559763917497,4.807473597742487e-137,2.32623449723491e-134
ENSG00000137135.18,2.665985937304567,8.2587886331485775e-137,3.956290106823495e-134
ENSG00000142319.18,6.417247258400817,2.32970157449956e-136,1.1049705368794744e-133
ENSG00000111674.9,3.194623943344776,4.60457732226256e-136,2.162526196526134e-133
