gene,gene_symbol,gene_biotype,gene_description,log2FoldChange,pvalue,padj
ENSG00000000003.15,TSPAN6,protein_coding,tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858],-1.2641669095910697,5.401332236975314e-63,2.134863197030243e-61
ENSG00000000005.6,TNMD,protein_coding,tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757],-0.6219835461021481,0.0373146529448313,0.0533731789038607
ENSG00000000419.13,DPM1,protein_coding,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]",-0.056846723223489,0.276900226276209,0.3322053755299536
ENSG00000000457.14,SCYL3,protein_coding,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285],-0.3758361442205214,3.2018966834743956e-19,1.856270830511406e-18
ENSG00000000460.17,FIRRM,protein_coding,FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565],0.5839182004626292,1.3890123603709744e-20,8.702491251793245e-20
ENSG00000000938.13,FGR,protein_coding,"FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]",1.5222437015247807,1.0987127258249617e-50,2.814584728230961e-49
ENSG00000000971.16,CFH,protein_coding,complement factor H [Source:HGNC Symbol;Acc:HGNC:4883],0.6981354823141842,4.972232479209761e-05,0.0001011258310546
ENSG00000001036.14,FUCA2,protein_coding,alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008],0.1488002630705968,0.0164005512884754,0.0247309244813374
ENSG00000001084.13,GCLC,protein_coding,glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311],0.115357982737235,0.1199255475490065,0.1566182336846762
ENSG00000001167.14,NFYA,protein_coding,nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804],-0.0657944197013384,0.1576936295701625,0.200838955439052
ENSG00000001460.18,STPG1,protein_coding,sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070],-0.7022544699065904,7.839411956352915e-34,9.646524283512202e-33
ENSG00000001461.17,NIPAL3,protein_coding,NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233],-0.7740901606402463,7.288962534948425e-22,4.889657768858275e-21
ENSG00000001497.18,LAS1L,protein_coding,LAS1 like ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726],0.3246437024007412,3.5715007127216665e-12,1.3185047020824499e-11
ENSG00000001561.7,ENPP4,protein_coding,ectonucleotide pyrophosphatase/phosphodiesterase 4 [Source:HGNC Symbol;Acc:HGNC:3359],-0.5404862864585576,1.0851118947909112e-08,3.078178492808895e-08
ENSG00000001617.12,SEMA3F,protein_coding,semaphorin 3F [Source:HGNC Symbol;Acc:HGNC:10728],1.138250216588229,6.273331260669422e-37,8.935999426437943e-36
ENSG00000001626.16,CFTR,protein_coding,CF transmembrane conductance regulator [Source:HGNC Symbol;Acc:HGNC:1884],-0.7860721722694994,0.0009092082945901,0.0016070664210775
ENSG00000001629.10,ANKIB1,protein_coding,ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215],0.0449008129102741,0.5510587577813558,0.6003210773146719
ENSG00000001630.17,CYP51A1,protein_coding,cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649],-1.033886805893801,1.6503905056389762e-14,7.128972658442697e-14
ENSG00000001631.16,KRIT1,protein_coding,KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573],0.5774921671140795,8.846963933478954e-20,5.296237943881227e-19
ENSG00000002016.18,RAD52,protein_coding,"RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]",0.5658124671610979,1.3289520525605988e-11,4.715363241675648e-11
ENSG00000002079.14,ENSG00000002079,,,1.800936177679474,4.9219079109590036e-17,2.500308341109015e-16
ENSG00000002330.14,BAD,protein_coding,BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936],0.438866484541965,3.643764843816398e-05,7.519856586170116e-05
ENSG00000002549.12,LAP3,protein_coding,leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449],-0.0331723118134123,0.6903087340186309,0.7258082481602357
ENSG00000002586.20,CD99,protein_coding,CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082],1.267922628290121,5.908657370077081e-50,1.4711451281505848e-48
